10-10 10-5 First Click,10-10 10-5 Last Click,10-10 10-5 Page Submit,10-10 10-5 Click Count,10-5 10-10 First Click,10-5 10-10 Last Click,10-5 10-10 Page Submit,10-5 10-10 Click Count,10-10 10-15 First Click,10-10 10-15 Last Click,10-10 10-15 Page Submit,10-10 10-15 Click Count,10-15 10-10 First Click,10-15 10-10 Last Click,10-15 10-10 Page Submit,10-15 10-10 Click Count,10-10 15-5 First Click,10-10 15-5 Last Click,10-10 15-5 Page Submit,10-10 15-5 Click Count,15-5 10-10 First Click,15-5 10-10 Last Click,15-5 10-10 Page Submit,15-5 10-10 Click Count,10-10 15-20 First Click,10-10 15-20 Last Click,10-10 15-20 Page Submit,10-10 15-20 Click Count,15-20 10-10 First Click,15-20 10-10 Last Click,15-20 10-10 Page Submit,15-20 10-10 Click Count,ResponseID
13.85,14.206,15.006,2.0,nan,nan,nan,nan,1.433,42.888,43.689,2.0,nan,nan,nan,nan,nan,nan,nan,nan,22.524,22.901,23.692,2.0,18.178,53.902,55.102,4.0,nan,nan,nan,nan,R_13BJgsyxmUfbzVN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2V9dHwbF7KEtdpz
nan,nan,nan,nan,9.257,36.739,37.201,9.0,nan,nan,nan,nan,10.433,17.127,17.655,4.0,9.545,11.825,12.517,5.0,nan,nan,nan,nan,7.821,9.001,9.99,2.0,nan,nan,nan,nan,R_7DkFnB2ji8pHCHy
nan,nan,nan,nan,4.08,9.278,10.148,3.0,nan,nan,nan,nan,4.619,10.036,11.757,5.0,10.935,11.55,12.239,2.0,nan,nan,nan,nan,nan,nan,nan,nan,4.587,21.534,23.153,10.0,R_2a8ZvBYIIVADur7
nan,nan,nan,nan,1.018,2.55,3.249,2.0,nan,nan,nan,nan,1.317,3.92,4.496,2.0,nan,nan,nan,nan,0.275,3.6,4.447,2.0,1.191,4.309,5.701,3.0,nan,nan,nan,nan,R_8v6n9uOh9aXWbZL
6.894,7.794,8.784,2.0,nan,nan,nan,nan,2.326,15.955,16.691,4.0,nan,nan,nan,nan,3.281,9.101,10.4,3.0,nan,nan,nan,nan,nan,nan,nan,nan,4.219,6.196,6.901,3.0,R_2MWnHlokpzkARec
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_7b8GRqZCXo0ZpOF
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_8QDZKE57ZXlj6Ay
7.026,8.973,9.401,4.0,nan,nan,nan,nan,9.596,10.702,11.853,2.0,nan,nan,nan,nan,6.19,7.703,8.301,3.0,nan,nan,nan,nan,13.142,16.632,17.001,4.0,nan,nan,nan,nan,R_3V6h5oWrBd7r07n
1.122,8.446,9.625,7.0,nan,nan,nan,nan,0.994,6.624,8.699,7.0,nan,nan,nan,nan,nan,nan,nan,nan,0.461,3.656,4.0,8.0,nan,nan,nan,nan,0.796,5.141,5.735,6.0,R_2D0N3RexlvJRFhU
1.523,9.919,10.427,7.0,nan,nan,nan,nan,1.368,4.686,5.326,4.0,nan,nan,nan,nan,nan,nan,nan,nan,7.101,9.087,9.671,4.0,nan,nan,nan,nan,1.039,3.591,4.132,4.0,R_43TlpoUcj5Xrk0V
nan,nan,nan,nan,5.746,9.196,9.917,4.0,nan,nan,nan,nan,4.535,8.869,9.993,3.0,nan,nan,nan,nan,3.63,14.229,15.489,5.0,2.954,5.737,7.193,2.0,nan,nan,nan,nan,R_50oynw78kAuaQJH
nan,nan,nan,nan,1.541,10.301,11.438,5.0,5.839,7.405,7.757,4.0,nan,nan,nan,nan,5.715,6.401,7.179,3.0,nan,nan,nan,nan,1.615,11.801,12.501,7.0,nan,nan,nan,nan,R_6kNDZ4l503N9L82
nan,nan,nan,nan,0.997,19.451,20.091,7.0,nan,nan,nan,nan,0.88,7.202,7.996,5.0,1.158,5.383,5.868,4.0,nan,nan,nan,nan,1.02,3.192,3.892,3.0,nan,nan,nan,nan,R_3MRQopWqM1VtdgY
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_8pcRu6I7LF2jeQ9
nan,nan,nan,nan,9.234,10.761,11.241,3.0,nan,nan,nan,nan,2.062,39.59,40.805,7.0,nan,nan,nan,nan,8.9,15.792,16.696,3.0,nan,nan,nan,nan,2.428,16.428,17.354,3.0,R_4XkaeIxc3mSKRnH
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2iBEgpHYrKdYBgt
2.916,6.63,7.06,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.822,14.634,15.286,8.0,nan,nan,nan,nan,0.9,4.776,5.273,3.0,nan,nan,nan,nan,1.243,13.791,14.328,5.0,R_22PHYHtEzau5Std
5.937,5.937,9.625,1.0,nan,nan,nan,nan,nan,nan,nan,nan,7.451,30.751,34.645,3.0,nan,nan,nan,nan,4.131,4.131,6.174,1.0,nan,nan,nan,nan,9.86,9.86,15.53,1.0,R_52lfOPOIBMHkuZO
7.801,19.647,21.103,2.0,nan,nan,nan,nan,11.804,14.86,15.601,3.0,nan,nan,nan,nan,9.364,13.421,14.202,3.0,nan,nan,nan,nan,nan,nan,nan,nan,4.475,21.94,23.91,5.0,R_4d4YFzRwqetY5oa
nan,nan,nan,nan,1.496,6.347,6.954,3.0,0.724,8.179,8.92,2.0,nan,nan,nan,nan,nan,nan,nan,nan,0.933,5.737,7.396,5.0,nan,nan,nan,nan,2.79,21.456,22.332,11.0,R_7Qp6aNcV4SFRP4l
0.979,3.666,4.267,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.495,3.002,4.301,3.0,nan,nan,nan,nan,1.398,4.889,5.402,3.0,9.915,26.882,28.347,6.0,nan,nan,nan,nan,R_5HYvdcMubyBgBUX
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_2oo4NnzH43CRQZE
1.238,4.344,7.298,3.0,nan,nan,nan,nan,nan,nan,nan,nan,0.764,14.31,14.91,6.0,0.93,5.413,5.8,5.0,nan,nan,nan,nan,2.306,21.2,23.369,5.0,nan,nan,nan,nan,R_8Lcode2ozOxsoVY
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_211JazxeWp3TEII
nan,nan,nan,nan,6.062,6.301,7.101,2.0,nan,nan,nan,nan,6.193,13.362,13.792,4.0,nan,nan,nan,nan,43.446,44.8,46.22,2.0,9.573,11.791,12.162,3.0,nan,nan,nan,nan,R_2hEoEo2bI37r9M5
nan,nan,nan,nan,6.897,14.363,15.286,5.0,nan,nan,nan,nan,4.614,7.48,7.958,3.0,6.098,14.216,14.692,4.0,nan,nan,nan,nan,nan,nan,nan,nan,4.264,12.251,12.891,3.0,R_48lxAZKDbljOzrH
nan,nan,nan,nan,2.097,4.101,4.85,2.0,nan,nan,nan,nan,14.504,15.2,16.043,2.0,nan,nan,nan,nan,9.125,9.501,12.101,2.0,7.12,7.9,9.047,3.0,nan,nan,nan,nan,R_4NN1fizPCA3aImt
nan,nan,nan,nan,2.776,14.89,16.501,4.0,8.442,11.03,13.0,4.0,nan,nan,nan,nan,7.602,9.781,11.091,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.033,14.946,16.972,12.0,R_1iQe7vTS5Y5ail5
1.29,17.886,18.566,7.0,nan,nan,nan,nan,nan,nan,nan,nan,1.057,6.855,7.968,4.0,nan,nan,nan,nan,1.607,9.282,12.451,6.0,1.195,5.637,6.196,4.0,nan,nan,nan,nan,R_1bS6YhQnbILG3p7
7.622,8.481,9.002,2.0,nan,nan,nan,nan,6.823,7.849,8.509,2.0,nan,nan,nan,nan,nan,nan,nan,nan,10.586,13.695,14.202,3.0,7.029,8.517,9.284,2.0,nan,nan,nan,nan,R_7CmuEyR8Fcv3rYi
nan,nan,nan,nan,10.382,20.049,20.545,6.0,nan,nan,nan,nan,122.171,166.64,167.288,13.0,9.223,17.89,18.492,3.0,nan,nan,nan,nan,nan,nan,nan,nan,9.286,17.147,18.612,3.0,R_2dKvsZkkxS9jk5Z
nan,nan,nan,nan,3.488,5.201,6.402,2.0,1.094,4.001,4.501,5.0,nan,nan,nan,nan,2.538,12.667,15.382,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.016,2.714,4.302,2.0,R_4Xd6wmisJdm8nUZ
nan,nan,nan,nan,2.555,6.202,7.282,4.0,2.539,9.401,12.812,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.398,5.963,6.5,3.0,nan,nan,nan,nan,1.408,4.859,6.801,2.0,R_3CSVbx4rWbiXZzH
nan,nan,nan,nan,2.253,12.859,13.484,5.0,1.589,5.901,7.253,2.0,nan,nan,nan,nan,2.394,4.392,5.181,2.0,nan,nan,nan,nan,2.22,5.6,6.434,2.0,nan,nan,nan,nan,R_2t7IMwDTV2IbXfb
nan,nan,nan,nan,4.657,7.902,8.652,3.0,7.234,9.352,10.016,3.0,nan,nan,nan,nan,nan,nan,nan,nan,18.791,24.699,25.494,4.0,nan,nan,nan,nan,9.868,11.377,11.935,3.0,R_3VEWvcbjUh170Y0
1.698,3.281,5.322,3.0,nan,nan,nan,nan,2.977,6.172,6.665,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.214,4.564,4.591,3.0,1.248,3.145,4.416,2.0,nan,nan,nan,nan,R_1K3AysGCMqLZ5vM
nan,nan,nan,nan,2.206,3.51,4.496,2.0,nan,nan,nan,nan,1.373,4.621,5.103,3.0,nan,nan,nan,nan,2.575,7.729,8.384,3.0,nan,nan,nan,nan,5.974,9.385,10.001,3.0,R_1BDxRgYZ2OXAHqV
16.6,16.6,21.569,1.0,nan,nan,nan,nan,14.079,15.358,16.701,2.0,nan,nan,nan,nan,nan,nan,nan,nan,7.394,7.394,8.717,1.0,12.967,12.967,14.196,1.0,nan,nan,nan,nan,R_3mxg0vzpG6P49Tz
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_42MacOQgG2OsD8e
5.084,5.084,6.241,1.0,nan,nan,nan,nan,3.409,3.99,4.6,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.485,20.33,21.092,6.0,nan,nan,nan,nan,2.8,2.8,3.601,1.0,R_4OcAXNDqsDBK6q1
nan,nan,nan,nan,12.217,13.113,14.301,2.0,5.207,10.719,11.5,3.0,nan,nan,nan,nan,3.107,17.516,18.3,5.0,nan,nan,nan,nan,11.838,14.208,15.737,3.0,nan,nan,nan,nan,R_2flC6YeBUHDBAgG
9.404,10.474,13.312,3.0,nan,nan,nan,nan,nan,nan,nan,nan,7.973,9.305,12.214,3.0,3.888,8.137,329.468,4.0,nan,nan,nan,nan,8.937,11.98,12.709,2.0,nan,nan,nan,nan,R_30GYGyxjK15hHQd
nan,nan,nan,nan,10.269,14.667,15.369,3.0,4.97,5.901,6.784,3.0,nan,nan,nan,nan,nan,nan,nan,nan,7.196,9.501,10.359,3.0,nan,nan,nan,nan,7.324,10.2,11.278,2.0,R_51nW7gFqOwWUgiT
nan,nan,nan,nan,2.572,5.616,6.474,2.0,7.683,10.361,11.202,3.0,nan,nan,nan,nan,2.207,4.692,12.32,3.0,nan,nan,nan,nan,2.801,5.509,6.179,3.0,nan,nan,nan,nan,R_436Z7hO68o6KF4Y
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_4iFKCSsvqSEf6lb
nan,nan,nan,nan,9.802,14.166,15.267,5.0,nan,nan,nan,nan,10.095,13.017,13.4,4.0,nan,nan,nan,nan,9.859,12.865,13.352,3.0,nan,nan,nan,nan,11.835,13.296,13.848,3.0,R_1RsAM8QKhGKt3nx
15.065,17.704,18.352,3.0,nan,nan,nan,nan,nan,nan,nan,nan,11.181,13.573,14.272,3.0,32.769,36.082,37.278,3.0,nan,nan,nan,nan,11.685,17.242,18.051,3.0,nan,nan,nan,nan,R_7uPrWrNHwOb3K5r
6.925,9.569,10.269,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.589,8.592,9.185,3.0,4.59,9.186,10.071,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.36,4.184,5.222,2.0,R_2fdKVdYu5UIjnAP
4.532,23.003,23.912,8.0,nan,nan,nan,nan,2.609,11.685,12.582,5.0,nan,nan,nan,nan,10.377,12.593,13.402,3.0,nan,nan,nan,nan,nan,nan,nan,nan,9.095,15.278,16.19,4.0,R_1IMLEOXu3QemWaB
7.239,10.819,11.502,5.0,nan,nan,nan,nan,nan,nan,nan,nan,8.356,10.722,11.302,4.0,8.025,9.871,10.401,4.0,nan,nan,nan,nan,7.592,12.434,12.901,5.0,nan,nan,nan,nan,R_5MYAi4bcoSqO0Ol
