10-10 10-5 First Click,10-10 10-5 Last Click,10-10 10-5 Page Submit,10-10 10-5 Click Count,10-5 10-10 First Click,10-5 10-10 Last Click,10-5 10-10 Page Submit,10-5 10-10 Click Count,10-10 10-15 First Click,10-10 10-15 Last Click,10-10 10-15 Page Submit,10-10 10-15 Click Count,10-15 10-10 First Click,10-15 10-10 Last Click,10-15 10-10 Page Submit,10-15 10-10 Click Count,10-10 15-5 First Click,10-10 15-5 Last Click,10-10 15-5 Page Submit,10-10 15-5 Click Count,15-5 10-10 First Click,15-5 10-10 Last Click,15-5 10-10 Page Submit,15-5 10-10 Click Count,10-10 15-20 First Click,10-10 15-20 Last Click,10-10 15-20 Page Submit,10-10 15-20 Click Count,15-20 10-10 First Click,15-20 10-10 Last Click,15-20 10-10 Page Submit,15-20 10-10 Click Count,ResponseID
nan,nan,nan,nan,13.065,24.189,25.156,5.0,49.325,50.141,51.075,2.0,nan,nan,nan,nan,nan,nan,nan,nan,14.385,22.273,23.001,5.0,nan,nan,nan,nan,10.966,12.773,13.452,3.0,R_1bcVJ8TPBzpRbxf
1.288,8.264,8.973,6.0,nan,nan,nan,nan,0.818,9.027,9.722,5.0,nan,nan,nan,nan,2.421,13.35,17.985,5.0,nan,nan,nan,nan,nan,nan,nan,nan,2.421,5.731,6.601,4.0,R_8M3Qf3fWW8u3Dto
nan,nan,nan,nan,5.685,7.67,8.335,3.0,nan,nan,nan,nan,2.319,5.679,9.0,3.0,nan,nan,nan,nan,6.784,8.215,8.744,3.0,11.239,14.228,15.377,3.0,nan,nan,nan,nan,R_8Ht3UcnRti8fAP3
2.92,9.001,12.327,4.0,nan,nan,nan,nan,4.507,7.107,8.462,3.0,nan,nan,nan,nan,2.01,12.86,14.57,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.493,10.65,11.57,4.0,R_31NKIjswbLGOTdw
4.338,12.799,13.598,4.0,nan,nan,nan,nan,nan,nan,nan,nan,2.904,12.957,15.282,3.0,nan,nan,nan,nan,5.992,11.201,12.147,2.0,6.556,10.301,11.743,3.0,nan,nan,nan,nan,R_36rbso9i2kAslwd
1.047,2.701,3.859,2.0,nan,nan,nan,nan,1.21,3.089,3.737,3.0,nan,nan,nan,nan,1.381,3.074,3.702,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.245,3.031,3.664,3.0,R_7c2tW2BbZC1lbkl
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_1MRkmj360l7D2Bp
nan,nan,nan,nan,1.137,3.2,4.257,3.0,nan,nan,nan,nan,1.326,5.623,6.201,4.0,1.028,8.471,9.201,3.0,nan,nan,nan,nan,3.527,13.803,14.708,4.0,nan,nan,nan,nan,R_2EZsTs1kiR8vNwm
nan,nan,nan,nan,1.701,6.54,7.369,7.0,nan,nan,nan,nan,1.491,10.7,11.801,4.0,nan,nan,nan,nan,2.719,41.441,42.601,11.0,nan,nan,nan,nan,2.543,19.235,19.923,9.0,R_45RVUaiheBKtXNO
nan,nan,nan,nan,1.668,17.375,17.901,4.0,7.231,31.102,33.075,4.0,nan,nan,nan,nan,2.045,17.503,19.158,4.0,nan,nan,nan,nan,1.93,11.401,12.624,3.0,nan,nan,nan,nan,R_2fdZpDdlHas8Vm8
16.423,18.779,19.5,4.0,nan,nan,nan,nan,nan,nan,nan,nan,16.423,22.704,23.682,5.0,4.826,11.3,12.601,4.0,nan,nan,nan,nan,7.756,16.08,17.1,7.0,nan,nan,nan,nan,R_8DoPwKswZaLGxcL
nan,nan,nan,nan,4.488,5.408,6.085,2.0,3.713,5.353,6.013,2.0,nan,nan,nan,nan,5.717,7.336,8.146,3.0,nan,nan,nan,nan,4.388,32.471,34.333,8.0,nan,nan,nan,nan,R_3UG1OYNa5wr7P45
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,R_29ieiII5JsalsEF
nan,nan,nan,nan,8.798,11.767,12.367,3.0,nan,nan,nan,nan,3.89,33.778,36.233,6.0,nan,nan,nan,nan,16.663,38.521,39.659,3.0,3.077,11.933,14.536,4.0,nan,nan,nan,nan,R_8FRNOcR5CtjTRQ0
nan,nan,nan,nan,5.471,7.761,8.331,2.0,nan,nan,nan,nan,16.306,16.869,17.691,2.0,7.759,8.825,9.868,2.0,nan,nan,nan,nan,nan,nan,nan,nan,10.279,11.145,12.04,2.0,R_8XbBz8xPx9pnpaV
4.305,17.107,18.056,4.0,nan,nan,nan,nan,2.562,17.726,18.2,5.0,nan,nan,nan,nan,nan,nan,nan,nan,3.509,19.642,20.271,5.0,1.127,71.305,73.999,13.0,nan,nan,nan,nan,R_2E11JfkSr5BQXwq
2.651,11.166,12.029,4.0,nan,nan,nan,nan,nan,nan,nan,nan,1.954,37.002,40.503,7.0,1.25,4.496,5.101,4.0,nan,nan,nan,nan,1.442,4.227,6.302,3.0,nan,nan,nan,nan,R_534vcy63TOBPptp
4.281,13.201,14.7,4.0,nan,nan,nan,nan,0.897,10.001,13.444,4.0,nan,nan,nan,nan,8.864,22.428,23.1,6.0,nan,nan,nan,nan,nan,nan,nan,nan,1.762,4.501,5.741,3.0,R_53ZZrR2MVtoXybA
23.228,38.1,40.781,5.0,nan,nan,nan,nan,10.967,11.801,13.085,2.0,nan,nan,nan,nan,11.037,14.378,15.146,4.0,nan,nan,nan,nan,9.606,11.432,12.037,3.0,nan,nan,nan,nan,R_1AsE9CrB1xVsZKp
8.061,14.701,15.552,4.0,nan,nan,nan,nan,nan,nan,nan,nan,9.793,17.992,18.701,4.0,nan,nan,nan,nan,4.507,13.06,13.676,5.0,nan,nan,nan,nan,10.142,22.102,24.28,4.0,R_8XmKEhwCf2UiSKX
nan,nan,nan,nan,0.515,4.6,5.224,2.0,2.712,8.299,8.658,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.3,14.478,15.568,7.0,nan,nan,nan,nan,5.25,19.679,20.134,5.0,R_1RwJUZoCG6zhG9e
nan,nan,nan,nan,5.567,10.775,11.389,5.0,8.921,28.829,29.4,7.0,nan,nan,nan,nan,1.812,3.856,4.572,2.0,nan,nan,nan,nan,6.8,14.58,16.183,5.0,nan,nan,nan,nan,R_5lFwAQhJGqNnDfH
nan,nan,nan,nan,5.358,10.4,11.6,2.0,nan,nan,nan,nan,1.156,4.601,5.574,3.0,nan,nan,nan,nan,1.343,7.501,8.439,3.0,3.856,9.576,10.201,4.0,nan,nan,nan,nan,R_4PTSGgxTKrZjxmw
2.453,8.164,8.401,4.0,nan,nan,nan,nan,1.192,3.683,5.3,2.0,nan,nan,nan,nan,2.416,10.5,11.278,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.073,5.801,6.701,3.0,R_14iQC0sntZ5QZ5w
nan,nan,nan,nan,6.615,7.067,7.588,2.0,nan,nan,nan,nan,2.826,6.04,6.49,3.0,1.905,5.741,6.251,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.378,5.432,6.331,4.0,R_6qgNsF45n4vZYqL
